Satisfaction,Title,Recommended,Not Recommended,Mixed Feelings
97.78,Hajime no Ippo,176,2,2
92.31,Karakai Jouzu no Takagi-san 3,36,2,1
92.18,Great Teacher Onizuka,165,2,12
87.5,Mushishi Zoku Shou 2nd Season,14,0,2
87.11,Houseki no Kuni,169,6,19
86.81,Black Lagoon,204,10,21
86.78,Death Parade,394,15,45
86.67,Natsume Yuujinchou,117,8,10
85.86,Code Geass: Hangyaku no Lelouch R2,346,25,32
85.3,JoJo no Kimyou na Bouken (TV),267,19,27
83.85,Darker than Black: Kuro no Keiyakusha,135,11,15
82.88,Mob Psycho 100 III,92,6,13
82.17,Kiseijuu: Sei no Kakuritsu,341,21,53
81.37,Soul Eater,262,15,45
80.88,Kidou Senshi Gundam: Tekketsu no Orphans,55,7,6
80.5,Kill la Kill,355,41,45
74.42,Tondemo Skill de Isekai Hourou Meshi,64,3,19
72.94,Youjo Senki,159,28,31
67.98,Mirai Nikki (TV),465,123,96
67.74,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,21,5,5
61.29,Vanitas no Karte Part 2,19,5,7
60.33,Made in Abyss: Retsujitsu no Ougonkyou,73,18,30
58.0,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,29,6,15
56.59,Kage no Jitsuryokusha ni Naritakute!,206,83,75
52.86,Deadman Wonderland,157,47,93
52.24,Owari no Seraph: Nagoya Kessen-hen,35,13,19
